time_sec,raw_dist_cm,lpf_dist_cm,error_cm,e_dot_lpf_cms,s_value,target_distance_cm,state
9.63,80.00,29.89,0.00,0.00,0.00,9.89,0
9.67,17.03,29.89,0.00,0.00,0.00,9.89,0
9.72,17.03,29.89,0.00,0.00,0.00,9.89,0
9.77,17.03,29.89,0.00,0.00,0.00,9.89,0
9.82,18.33,29.89,0.00,0.00,0.00,9.89,0
9.87,17.37,29.89,0.00,0.00,0.00,9.89,0
9.92,17.37,29.89,0.00,0.00,0.00,9.89,0
9.97,17.37,29.89,0.00,0.00,0.00,9.89,0
10.02,17.37,29.89,0.00,0.00,0.00,9.89,0
10.07,17.37,29.89,0.00,0.00,0.00,9.89,0
10.12,17.70,29.89,0.00,0.00,0.00,9.89,0
10.17,17.68,29.89,0.00,0.00,0.00,9.89,0
10.22,17.70,29.89,0.00,0.00,0.00,9.89,0
10.27,17.70,29.89,0.00,0.00,0.00,9.89,0
10.32,17.68,29.89,0.00,0.00,0.00,9.89,0
10.38,17.68,29.89,0.00,0.00,0.00,9.89,0
10.42,17.70,29.89,0.00,0.00,0.00,9.89,0
10.47,17.70,29.89,0.00,0.00,0.00,9.89,0
10.52,17.68,29.89,0.00,0.00,0.00,9.89,0
10.57,17.68,29.89,0.00,0.00,0.00,9.89,0
10.63,17.70,29.89,0.00,0.00,0.00,9.89,0
10.68,16.72,29.89,0.00,0.00,0.00,9.89,0
10.73,16.72,29.89,0.00,0.00,0.00,9.89,0
10.77,18.01,29.89,0.00,0.00,0.00,9.89,0
10.82,18.01,29.89,0.00,0.00,0.00,9.89,0
10.88,18.01,29.89,0.00,0.00,0.00,9.89,0
10.93,17.05,29.89,0.00,0.00,0.00,9.89,0
10.98,18.01,29.89,0.00,0.00,0.00,9.89,0
11.02,18.33,29.89,0.00,0.00,0.00,9.89,0
11.07,17.37,29.89,0.00,0.00,0.00,9.89,0
11.13,17.68,29.89,0.00,0.00,0.00,9.89,0
11.18,16.72,29.89,0.00,0.00,0.00,9.89,0
11.23,17.05,29.89,0.00,0.00,0.00,9.89,0
11.27,17.05,29.89,0.00,0.00,0.00,9.89,0
11.32,17.37,29.89,0.00,0.00,0.00,9.89,0
11.38,16.72,29.89,0.00,0.00,0.00,9.89,0
11.43,17.05,29.89,0.00,0.00,0.00,9.89,0
11.48,16.40,29.89,0.00,0.00,0.00,9.89,0
11.53,16.72,29.89,0.00,0.00,0.00,9.89,0
11.57,16.07,29.89,0.00,0.00,0.00,9.89,0
11.63,16.40,29.89,0.00,0.00,0.00,9.89,0
11.68,16.72,29.89,0.00,0.00,0.00,9.89,0
11.73,16.07,29.89,0.00,0.00,0.00,9.89,0
11.78,16.07,29.89,0.00,0.00,0.00,9.89,0
11.83,16.40,29.89,0.00,0.00,0.00,9.89,0
11.88,15.74,29.89,0.00,0.00,0.00,9.89,0
11.93,15.74,29.89,0.00,0.00,0.00,9.89,0
11.98,16.07,29.89,0.00,0.00,0.00,9.89,0
12.02,16.07,29.89,0.00,0.00,0.00,9.89,0
12.08,15.04,29.89,0.00,0.00,0.00,9.89,0
12.13,16.40,29.89,0.00,0.00,0.00,9.89,0
12.18,15.38,29.89,0.00,0.00,0.00,9.89,0
12.23,15.38,29.89,0.00,0.00,0.00,9.89,0
12.28,15.74,29.89,0.00,0.00,0.00,9.89,0
12.33,16.07,29.89,0.00,0.00,0.00,9.89,0
12.38,14.71,29.89,0.00,0.00,0.00,9.89,0
12.43,15.06,29.89,0.00,0.00,0.00,9.89,0
12.48,15.06,29.89,0.00,0.00,0.00,9.89,0
12.53,15.38,29.89,0.00,0.00,0.00,9.89,0
12.58,14.37,29.89,0.00,0.00,0.00,9.89,0
12.63,14.71,29.89,0.00,0.00,0.00,9.89,0
12.68,15.04,29.89,0.00,0.00,0.00,9.89,0
12.73,14.37,29.89,0.00,0.00,0.00,9.89,0
12.78,14.71,29.89,0.00,0.00,0.00,9.89,0
12.83,14.05,29.89,0.00,0.00,0.00,9.89,0
12.88,13.70,29.89,0.00,0.00,0.00,9.89,0
12.93,14.03,29.89,0.00,0.00,0.00,9.89,0
12.98,13.70,29.89,0.00,0.00,0.00,9.89,0
13.03,13.14,29.89,0.00,0.00,0.00,9.89,0
13.08,13.70,29.89,0.00,0.00,0.00,9.89,0
13.13,12.11,29.89,0.00,0.00,0.00,9.89,0
13.18,12.79,29.89,0.00,0.00,0.00,9.89,0
13.23,12.47,29.89,0.00,0.00,0.00,9.89,0
13.28,11.78,29.89,0.00,0.00,0.00,9.89,0
13.33,11.11,29.89,0.00,0.00,0.00,9.89,0
13.38,11.78,29.89,0.00,0.00,0.00,9.89,0
13.43,11.11,29.89,0.00,0.00,0.00,9.89,0
13.48,11.44,29.89,0.00,0.00,0.00,9.89,0
13.53,10.77,29.89,0.00,0.00,0.00,9.89,0
13.58,11.11,29.89,0.00,0.00,0.00,9.89,0
13.63,10.44,29.89,0.00,0.00,0.00,9.89,0
13.68,10.77,29.89,0.00,0.00,0.00,9.89,0
13.73,9.76,29.89,0.00,0.00,0.00,9.89,0
13.78,10.10,29.89,0.00,0.00,0.00,9.89,0
13.83,9.42,29.89,0.00,0.00,0.00,9.89,0
13.88,9.76,29.89,0.00,0.00,0.00,9.89,0
13.93,10.10,29.89,0.00,0.00,0.00,9.89,0
13.98,9.09,29.89,0.00,0.00,0.00,9.89,0
14.03,9.43,29.89,0.00,0.00,0.00,9.89,0
14.08,9.76,29.89,0.00,0.00,0.00,9.89,0
14.13,8.75,29.89,0.00,0.00,0.00,9.89,0
14.18,9.09,29.89,0.00,0.00,0.00,9.89,0
14.23,9.09,29.89,0.00,0.00,0.00,9.89,0
14.28,9.43,29.89,0.00,0.00,0.00,9.89,0
14.33,8.40,29.89,0.00,0.00,0.00,9.89,0
14.38,8.40,29.89,0.00,0.00,0.00,9.89,0
14.43,8.75,29.89,0.00,0.00,0.00,9.89,0
